playlist_idx,track_idx,score,new_rank,popularity_tier
1896,718231,0.8750112056732178,1,High
1896,1370260,0.8661539554595947,2,High
1896,958087,0.864005446434021,3,High
1896,1981609,0.8636063933372498,4,High
1896,958321,0.858938455581665,5,High
1896,686337,0.8533837199211121,6,High
1896,451468,0.8506776094436646,7,High
1910,1062689,1.11572265625,1,High
1910,582877,1.0940327644348145,2,High
1910,418794,1.0872304439544678,3,High
1910,316382,1.0841177701950073,4,High
1910,921286,1.0826497077941895,5,High
1910,316984,1.080352544784546,6,High
1910,384391,1.0784149169921875,7,High
2158,1063508,1.1425906419754028,1,High
2158,1780829,1.1298514604568481,2,High
2158,36136,1.1226520538330078,3,High
2158,1847059,1.1173856258392334,4,High
2158,2183339,1.1121240854263306,5,High
2158,788244,1.1098281145095825,6,High
2158,176423,1.1030855178833008,7,High
3048,819924,1.1257010698318481,1,High
3048,685047,1.1028794050216675,2,High
3048,1028119,1.0799287557601929,3,High
3048,1542267,1.0755314826965332,4,High
3048,2150185,1.0706732273101807,5,High
3048,921433,1.070618987083435,6,High
3048,701,1.0638668537139893,7,High
3114,1439866,1.2531554698944092,1,High
3114,1238071,1.2195721864700317,2,High
3114,259,1.1906424760818481,3,High
3114,1169353,1.1881321668624878,4,High
3114,1713480,1.1837438344955444,5,High
3114,2150035,1.1795027256011963,6,High
3114,1474377,1.1708533763885498,7,High
3549,550047,1.462246060371399,1,High
3549,316378,1.4151629209518433,2,High
3549,1847809,1.3840670585632324,3,High
3549,1645438,1.3741034269332886,4,High
3549,1644556,1.373884916305542,5,High
3549,685927,1.3719289302825928,6,High
3549,2051025,1.361413598060608,7,High
3702,1405719,0.8745284676551819,1,High
3702,1202935,0.8729944825172424,2,High
3702,1404392,0.8665795922279358,3,High
3702,719285,0.8631362915039062,4,High
3702,1304067,0.8620873093605042,5,High
3702,1609417,0.8614355325698853,6,High
3702,246869,0.8610415458679199,7,High
6246,1715023,1.1664918661117554,1,High
6246,650883,1.1166201829910278,2,High
6246,1337515,1.1143854856491089,3,High
6246,889122,1.0844727754592896,4,High
6246,143051,1.0780364274978638,5,High
6246,786699,1.071800947189331,6,High
6246,855953,1.071016788482666,7,High
12348,1507435,0.9332853555679321,1,High
12348,1134325,0.9206395745277405,2,High
12348,141531,0.9172345995903015,3,High
12348,2118447,0.9162865281105042,4,High
12348,484714,0.9154012203216553,5,High
12348,1169356,0.9149815440177917,6,High
12348,583642,0.914728045463562,7,High
12721,1440553,1.179349422454834,1,High
12721,2050192,1.1696269512176514,2,High
12721,1270165,1.168646216392517,3,High
12721,820073,1.1617431640625,4,High
12721,1473841,1.1546653509140015,5,High
12721,71382,1.1535931825637817,6,High
12721,855,1.1533832550048828,7,High
14518,685656,0.3671054542064667,1,High
14518,1271304,0.3589335083961487,2,High
14518,1238522,0.35416337847709656,3,High
14518,1747517,0.3411034047603607,4,High
14518,887890,0.3408247232437134,5,High
14518,1646639,0.3213150203227997,6,High
14518,889195,0.3183468282222748,7,High
14949,248291,1.2013241052627563,1,High
