track_id,track_name,artist_name,playlist_count,popularity_tier
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,45394,High
1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,41707,High
7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),DRAM,40659,High
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,40629,High
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,39577,High
5hTpBe8h35rJ67eAWHQsJx,Caroline,Aminé,34765,High
2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),KYLE,34672,High
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Migos,34157,High
7GX5flRQZVHRAGd6B4TmDO,XO TOUR Llif3,Lil Uzi Vert,34048,High
152lZdxL1OR0ZMW6KquMif,Location,Khalid,33954,High
0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,32930,High
62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,32143,High
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,31884,High
5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,R. Kelly,31509,High
0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,31340,High
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,30948,High
27GmP9AWRs744SzKcpJsTZ,Jumpman,Drake,30817,High
3DXncPQOG4VBw3QHh3S817,I'm the One,DJ Khaled,30800,High
6O6M7pJLABmfBRoGZMu76Y,Roses,The Chainsmokers,30165,High
5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,Luis Fonsi,29924,High
0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,The Chainsmokers,29866,High
343YBumqHu19cGoGARUTsd,Fake Love,Drake,29804,High
5XJJdNPkwmbUwE79gv0NxK,Gold Digger,Kanye West,29766,High
3kxfsdsCpFgN412fpnW85Y,Redbone,Childish Gambino,29664,High
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,29052,High
2d8JP84HNLKhmd6IYOoupQ,Trap Queen,Fetty Wap,28643,High
6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,Post Malone,28626,High
25khomWgBVamSdKw7hzm3l,The Hills,The Weeknd,28385,High
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,27944,High
5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,27896,High
6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,27891,High
5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,27666,High
2KpCpk6HjXXLb7nnXoXA5O,Ni**as In Paris,JAY Z,27119,High
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers,26818,High
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,26769,High
6HZILIRieu8S0iqY8kIKhj,DNA.,Kendrick Lamar,26575,High
1Tt4sE4pXi57mTD1GCzsqm,Needed Me,Rihanna,26460,High
4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),Major Lazer,26297,High
7wGoVu4Dady5GV0Sv4UIsx,rockstar,Post Malone,25912,High
5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,Logic,25716,High
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,25544,High
69bp2EbF7Q2rqc5N3ylezZ,Sorry,Justin Bieber,25519,High
7tr2za8SQg2CI8EDgrdtNl,Slide,Calvin Harris,25378,High
2FBUoWkIuQXwayw2RNo5l6,Hotline Bling,Drake,25369,High
4w7yrP4RAeeyhfG9nJqQvS,I Don't Fuck With You,Big Sean,25246,High
0XUfyU2QviPAs6bxSpXYG4,Yeah!,Usher,25079,High
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,25001,High
5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),Fetty Wap,24858,High
1Slwb6dOYkBlWal1PGtnNg,Thinking Out Loud,Ed Sheeran,24751,High
5uDASfU19gDxSjW8cnCaBp,Chill Bill,Rob $tone,24705,High
